Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2013,143.115902118," (adjusted for inflation, 2024 dollars)",2013,,$143.1M,$9.5B,,$9473.1B,143.115902118,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2014,118.865122522," (adjusted for inflation, 2024 dollars)",2014,,$118.9M,$8.9B,,$8870.9B,118.865122522,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2015,93.218989337," (adjusted for inflation, 2024 dollars)",2015,,$93.2M,$8.9B,,$8881.7B,93.218989337,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2016,74.398198638," (adjusted for inflation, 2024 dollars)",2016,,$74.4M,$9.8B,,$9791.6B,74.398198638,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2017,47.985770296," (adjusted for inflation, 2024 dollars)",2017,,$48.0M,$10.9B,,$10881.9B,47.985770296,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2018,35.497105545," (adjusted for inflation, 2024 dollars)",2018,,$35.5M,$12.2B,,$12165.2B,35.497105545,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2019,32.609016402," (adjusted for inflation, 2024 dollars)",2019,,$32.6M,$13.6B,,$13639.5B,32.609016402,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2020,33.242135761," (adjusted for inflation, 2024 dollars)",2020,,$33.2M,$14.7B,,$14748.9B,33.242135761,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2021,23.036499451," (adjusted for inflation, 2024 dollars)",2021,,$23.0M,$17.4B,,$17391.8B,23.036499451,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2022,12.144307791," (adjusted for inflation, 2024 dollars)",2022,,$12.1M,$17.0B,,$17035.5B,12.144307791,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2023,11.003906488," (adjusted for inflation, 2024 dollars)",2023,,$11.0M,$17.6B,,$17611.4B,11.003906488,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2024,8.857896933," (adjusted for inflation, 2024 dollars)",2024,,$8.9M,$17.7B,,$17674.6B,8.857896933,2024
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,158.699950653," (adjusted for inflation, 2024 dollars)",2011,,$158.7M,$10.0B,,$9951.0B,158.699950653,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,233.545115888," (adjusted for inflation, 2024 dollars)",2012,,$233.5M,$9.6B,,$9585.4B,233.545115888,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,297.417983996," (adjusted for inflation, 2024 dollars)",2013,,$297.4M,$9.5B,,$9473.1B,297.417983996,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,376.042810523," (adjusted for inflation, 2024 dollars)",2014,,$376.0M,$8.9B,,$8870.9B,376.042810523,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,492.324582018," (adjusted for inflation, 2024 dollars)",2015,,$492.3M,$8.9B,,$8881.7B,492.324582018,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,623.167465730," (adjusted for inflation, 2024 dollars)",2016,,$623.2M,$9.8B,,$9791.6B,623.167465730,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,786.096453339," (adjusted for inflation, 2024 dollars)",2017,,$786.1M,$10.9B,,$10881.9B,786.096453339,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,940.277519385," (adjusted for inflation, 2024 dollars)",2018,,$940.3M,$12.2B,,$12165.2B,940.277519385,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,1235.08285804," (adjusted for inflation, 2024 dollars)",2019,$1.2B,,$13.6B,,$13639.5B,1235.08285804,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2020,1450.323731777," (adjusted for inflation, 2024 dollars)",2020,$1.5B,,$14.7B,,$14748.9B,1450.323731777,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2021,2006.680375836," (adjusted for inflation, 2024 dollars)",2021,$2.0B,,$17.4B,,$17391.8B,2006.680375836,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2022,1953.096841895," (adjusted for inflation, 2024 dollars)",2022,$2.0B,,$17.0B,,$17035.5B,1953.096841895,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2023,1919.527799368," (adjusted for inflation, 2024 dollars)",2023,$1.9B,,$17.6B,,$17611.4B,1919.527799368,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",On-Demand Streaming (Ad-Supported),Value (Adjusted),2024,1831.879377215," (adjusted for inflation, 2024 dollars)",2024,$1.8B,,$17.7B,,$17674.6B,1831.879377215,2024
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2016,92.320141853," (adjusted for inflation, 2024 dollars)",2016,,$92.3M,$9.8B,,$9791.6B,92.320141853,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2017,286.575197613," (adjusted for inflation, 2024 dollars)",2017,,$286.6M,$10.9B,,$10881.9B,286.575197613,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2018,260.059608475," (adjusted for inflation, 2024 dollars)",2018,,$260.1M,$12.2B,,$12165.2B,260.059608475,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2019,254.354676339," (adjusted for inflation, 2024 dollars)",2019,,$254.4M,$13.6B,,$13639.5B,254.354676339,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2020,256.040326857," (adjusted for inflation, 2024 dollars)",2020,,$256.0M,$14.7B,,$14748.9B,256.040326857,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2021,235.581091976," (adjusted for inflation, 2024 dollars)",2021,,$235.6M,$17.4B,,$17391.8B,235.581091976,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2022,280.276335279," (adjusted for inflation, 2024 dollars)",2022,,$280.3M,$17.0B,,$17035.5B,280.276335279,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2023,327.047456209," (adjusted for inflation, 2024 dollars)",2023,,$327.0M,$17.6B,,$17611.4B,327.047456209,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Ad-Supported Streaming,Value (Adjusted),2024,306.492365279," (adjusted for inflation, 2024 dollars)",2024,,$306.5M,$17.7B,,$17674.6B,306.492365279,2024
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2016,22.404142730," (adjusted for inflation, 2024 dollars)",2016,,$22.4M,$9.8B,,$9791.6B,22.404142730,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2017,21.608490655," (adjusted for inflation, 2024 dollars)",2017,,$21.6M,$10.9B,,$10881.9B,21.608490655,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2018,24.784081685," (adjusted for inflation, 2024 dollars)",2018,,$24.8M,$12.2B,,$12165.2B,24.784081685,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2019,26.395601117," (adjusted for inflation, 2024 dollars)",2019,,$26.4M,$13.6B,,$13639.5B,26.395601117,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2020,22.895735116," (adjusted for inflation, 2024 dollars)",2020,,$22.9M,$14.7B,,$14748.9B,22.895735116,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2021,36.007788083," (adjusted for inflation, 2024 dollars)",2021,,$36.0M,$17.4B,,$17391.8B,36.007788083,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2022,27.777174616," (adjusted for inflation, 2024 dollars)",2022,,$27.8M,$17.0B,,$17035.5B,27.777174616,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2023,28.931254767," (adjusted for inflation, 2024 dollars)",2023,,$28.9M,$17.6B,,$17611.4B,28.931254767,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Digital,Value (Adjusted),2024,35.091384483," (adjusted for inflation, 2024 dollars)",2024,,$35.1M,$17.7B,,$17674.6B,35.091384483,2024
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Physical,Value (Adjusted),2023,5.831824770," (adjusted for inflation, 2024 dollars)",2023,,$5.8M,$17.6B,,$17611.4B,5.831824770,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Physical,Value (Adjusted),2024,12.52022296," (adjusted for inflation, 2024 dollars)",2024,,$12.5M,$17.7B,,$17674.6B,12.52022296,2024
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Tapes,Value (Adjusted),1973,110.215054054," (adjusted for inflation, 2024 dollars)",1973,,$110.2M,$14.2B,,$14247.4B,110.215054054,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Tapes,Value (Adjusted),1974,84.626038540," (adjusted for inflation, 2024 dollars)",1974,,$84.6M,$14.0B,,$13996.4B,84.626038540,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Tapes,Value (Adjusted),1975,59.472635688," (adjusted for inflation, 2024 dollars)",1975,,$59.5M,$13.9B,,$13926.5B,59.472635688,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Other Tapes,Value (Adjusted),1976,28.116237258," (adjusted for inflation, 2024 dollars)",1976,,$28.1M,$15.1B,,$15089.6B,28.116237258,1976
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2005,239.643619048," (adjusted for inflation, 2024 dollars)",2005,,$239.6M,$19.7B,,$19739.9B,239.643619048,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2006,320.846586310," (adjusted for inflation, 2024 dollars)",2006,,$320.8M,$18.3B,,$18297.7B,320.846586310,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2007,354.020053824," (adjusted for inflation, 2024 dollars)",2007,,$354.0M,$16.1B,,$16113.8B,354.020053824,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2008,322.572117434," (adjusted for inflation, 2024 dollars)",2008,,$322.6M,$12.8B,,$12787.5B,322.572117434,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2009,301.498910677," (adjusted for inflation, 2024 dollars)",2009,,$301.5M,$11.5B,,$11450.2B,301.498910677,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2010,305.552443409," (adjusted for inflation, 2024 dollars)",2010,,$305.6M,$10.1B,,$10089.8B,305.552443409,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2011,345.569839823," (adjusted for inflation, 2024 dollars)",2011,,$345.6M,$10.0B,,$9951.0B,345.569839823,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2012,546.350302251," (adjusted for inflation, 2024 dollars)",2012,,$546.4M,$9.6B,,$9585.4B,546.350302251,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2013,866.270396749," (adjusted for inflation, 2024 dollars)",2013,,$866.3M,$9.5B,,$9473.1B,866.270396749,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2014,1020.653392053," (adjusted for inflation, 2024 dollars)",2014,$1.0B,,$8.9B,,$8870.9B,1020.653392053,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2015,1530.889079296," (adjusted for inflation, 2024 dollars)",2015,$1.5B,,$8.9B,,$8881.7B,1530.889079296,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2016,2857.678605626," (adjusted for inflation, 2024 dollars)",2016,$2.9B,,$9.8B,,$9791.6B,2857.678605626,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2017,4299.608504730," (adjusted for inflation, 2024 dollars)",2017,$4.3B,,$10.9B,,$10881.9B,4299.608504730,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2018,5763.944653027," (adjusted for inflation, 2024 dollars)",2018,$5.8B,,$12.2B,,$12165.2B,5763.944653027,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2019,7453.465366906," (adjusted for inflation, 2024 dollars)",2019,$7.5B,,$13.6B,,$13639.5B,7453.465366906,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2020,8426.239701101," (adjusted for inflation, 2024 dollars)",2020,$8.4B,,$14.7B,,$14748.9B,8426.239701101,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2021,9912.776936464," (adjusted for inflation, 2024 dollars)",2021,$9.9B,,$17.4B,,$17391.8B,9912.776936464,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2022,9838.738526481," (adjusted for inflation, 2024 dollars)",2022,$9.8B,,$17.0B,,$17035.5B,9838.738526481,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2023,10449.038367971," (adjusted for inflation, 2024 dollars)",2023,$10.4B,,$17.6B,,$17611.4B,10449.038367971,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Paid Subscription,Value (Adjusted),2024,10686.986036797," (adjusted for inflation, 2024 dollars)",2024,$10.7B,,$17.7B,,$17674.6B,10686.986036797,2024
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2005,677.169904762," (adjusted for inflation, 2024 dollars)",2005,,$677.2M,$19.7B,,$19739.9B,677.169904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2006,1204.030497024," (adjusted for inflation, 2024 dollars)",2006,$1.2B,,$18.3B,,$18297.7B,1204.030497024,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2007,1597.326379605," (adjusted for inflation, 2024 dollars)",2007,$1.6B,,$16.1B,,$16113.8B,1597.326379605,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2008,1423.600794694," (adjusted for inflation, 2024 dollars)",2008,$1.4B,,$12.8B,,$12787.5B,1423.600794694,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2009,1027.611224171," (adjusted for inflation, 2024 dollars)",2009,$1.0B,,$11.5B,,$11450.2B,1027.611224171,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2010,644.479729978," (adjusted for inflation, 2024 dollars)",2010,,$644.5M,$10.1B,,$10089.8B,644.479729978,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2011,385.175099916," (adjusted for inflation, 2024 dollars)",2011,,$385.2M,$10.0B,,$9951.0B,385.175099916,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2012,199.466788427," (adjusted for inflation, 2024 dollars)",2012,,$199.5M,$9.6B,,$9585.4B,199.466788427,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2013,131.961694189," (adjusted for inflation, 2024 dollars)",2013,,$132.0M,$9.5B,,$9473.1B,131.961694189,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2014,87.866431608," (adjusted for inflation, 2024 dollars)",2014,,$87.9M,$8.9B,,$8870.9B,87.866431608,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2015,72.238618311," (adjusted for inflation, 2024 dollars)",2015,,$72.2M,$8.9B,,$8881.7B,72.238618311,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2016,73.617130989," (adjusted for inflation, 2024 dollars)",2016,,$73.6M,$9.8B,,$9791.6B,73.617130989,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2017,45.448222190," (adjusted for inflation, 2024 dollars)",2017,,$45.4M,$10.9B,,$10881.9B,45.448222190,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2018,31.177968286," (adjusted for inflation, 2024 dollars)",2018,,$31.2M,$12.2B,,$12165.2B,31.177968286,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2019,25.326724642," (adjusted for inflation, 2024 dollars)",2019,,$25.3M,$13.6B,,$13639.5B,25.326724642,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2020,24.531190200," (adjusted for inflation, 2024 dollars)",2020,,$24.5M,$14.7B,,$14748.9B,24.531190200,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2021,18.133569603," (adjusted for inflation, 2024 dollars)",2021,,$18.1M,$17.4B,,$17391.8B,18.133569603,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2022,11.808080195," (adjusted for inflation, 2024 dollars)",2022,,$11.8M,$17.0B,,$17035.5B,11.808080195,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2023,10.845680328," (adjusted for inflation, 2024 dollars)",2023,,$10.8M,$17.6B,,$17611.4B,10.845680328,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Ringtones & Ringbacks,Value (Adjusted),2024,5.552270171," (adjusted for inflation, 2024 dollars)",2024,,$5.6M,$17.7B,,$17674.6B,5.552270171,2024
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2003,44.837069022," (adjusted for inflation, 2024 dollars)",2003,,$44.8M,$20.2B,,$20209.8B,44.837069022,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2004,27.566105876," (adjusted for inflation, 2024 dollars)",2004,,$27.6M,$20.5B,,$20500.4B,27.566105876,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2005,16.061904762," (adjusted for inflation, 2024 dollars)",2005,,$16.1M,$19.7B,,$19739.9B,16.061904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2006,8.557983631," (adjusted for inflation, 2024 dollars)",2006,,$8.6M,$18.3B,,$18297.7B,8.557983631,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2007,5.446462367," (adjusted for inflation, 2024 dollars)",2007,,$5.4M,$16.1B,,$16113.8B,5.446462367,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2008,4.516592430," (adjusted for inflation, 2024 dollars)",2008,,$4.5M,$12.8B,,$12787.5B,4.516592430,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2009,3.509201676," (adjusted for inflation, 2024 dollars)",2009,,$3.5M,$11.5B,,$11450.2B,3.509201676,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2010,2.445570404," (adjusted for inflation, 2024 dollars)",2010,,$2.4M,$10.1B,,$10089.8B,2.445570404,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2011,2.091827118," (adjusted for inflation, 2024 dollars)",2011,,$2.1M,$10.0B,,$9951.0B,2.091827118,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2012,1.834226864," (adjusted for inflation, 2024 dollars)",2012,,$1.8M,$9.6B,,$9585.4B,1.834226864,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2013,1.317444247," (adjusted for inflation, 2024 dollars)",2013,,$1.3M,$9.5B,,$9473.1B,1.317444247,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2014,1.011609645," (adjusted for inflation, 2024 dollars)",2014,,$1.0M,$8.9B,,$8870.9B,1.011609645,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2015,1.381014787," (adjusted for inflation, 2024 dollars)",2015,,$1.4M,$8.9B,,$8881.7B,1.381014787,2015
